"STATE","YEAR","EVTYPE","COUNT","FATALITIES","INJURIES","PROPERTY.VALUE","CROP.VALUE"
"new jersey",1994,"EXCESSIVE HEAT",1,0,0,0,0
"oklahoma",1994,"EXCESSIVE HEAT",1,0,0,0,0
"arkansas",1995,"EXCESSIVE HEAT",1,1,0,0,0
"district of columbia",1995,"EXCESSIVE HEAT",2,14,0,0,0
"maryland",1995,"EXCESSIVE HEAT",2,11,31,0,0
"missouri",1995,"EXCESSIVE HEAT",1,0,0,0,0
"new jersey",1995,"EXCESSIVE HEAT",1,1,0,0,0
"pennsylvania",1995,"EXCESSIVE HEAT",4,67,0,0,0
"texas",1995,"EXCESSIVE HEAT",5,10,3,0,0
"virginia",1995,"EXCESSIVE HEAT",1,2,100,0,0
"west virginia",1995,"EXCESSIVE HEAT",1,0,0,0,0
"alabama",1996,"EXCESSIVE HEAT",12,1,0,0,0
"california",1996,"EXCESSIVE HEAT",1,4,0,0,0
"delaware",1996,"EXCESSIVE HEAT",2,0,8,0,0
"district of columbia",1996,"EXCESSIVE HEAT",1,0,1,0,0
"georgia",1996,"EXCESSIVE HEAT",5,0,0,0,0
"illinois",1996,"EXCESSIVE HEAT",2,7,0,0,0
"kansas",1996,"EXCESSIVE HEAT",1,0,0,0,0
"louisiana",1996,"EXCESSIVE HEAT",1,1,0,0,0
"maryland",1996,"EXCESSIVE HEAT",3,0,2,0,0
"missouri",1996,"EXCESSIVE HEAT",6,2,44,0,0
"new jersey",1996,"EXCESSIVE HEAT",2,0,0,0,0
"new york",1996,"EXCESSIVE HEAT",1,0,0,0,0
"north carolina",1996,"EXCESSIVE HEAT",1,0,0,0,0
"oklahoma",1996,"EXCESSIVE HEAT",1,7,0,0,0
"pennsylvania",1996,"EXCESSIVE HEAT",1,1,4,0,0
"south carolina",1996,"EXCESSIVE HEAT",4,3,0,0,0
"texas",1996,"EXCESSIVE HEAT",4,10,0,0,0
"virginia",1996,"EXCESSIVE HEAT",2,0,0,0,0
"alabama",1997,"EXCESSIVE HEAT",8,0,1,0,0
"california",1997,"EXCESSIVE HEAT",2,5,0,0,0
"delaware",1997,"EXCESSIVE HEAT",3,0,3,0,0
"district of columbia",1997,"EXCESSIVE HEAT",4,3,175,0,0
"georgia",1997,"EXCESSIVE HEAT",7,0,0,0,0
"illinois",1997,"EXCESSIVE HEAT",8,26,12,0,0
"indiana",1997,"EXCESSIVE HEAT",5,0,0,0,0
"iowa",1997,"EXCESSIVE HEAT",1,0,12,500,0
